_id,title,text,query
<dbpedia:Marien_Ngouabi>,Marien Ngouabi,"Marien Ngouabi (or N'Gouabi) (December 31, 1938 – March 18, 1977) was the military President of the Republic of the Congo from January 1, 1969, to March 18, 1977.",what a dictator
<dbpedia:Anywhere_but_Here_(film)>,Anywhere but Here (film),"Anywhere but Here is a 1999 American dramatic film, based on the novel of the same name by Mona Simpson. The screenplay was written by Alvin Sargent, and the film was directed by Wayne Wang. It was produced by Laurence Mark, Petra Alexandria, and Ginny Nugent. It stars Susan Sarandon and Natalie Portman. Filming began in late June 1998.  It debuted at the Toronto Film Festival on September 17 in 1999, before being released on November 12.",who was the writer of anywhere but here?
<dbpedia:Everyone_Says_I_Love_You>,Everyone Says I Love You,"Everyone Says I Love You is a 1996 American musical comedy film written and directed by Woody Allen, who also stars in the film, alongside Julia Roberts, Alan Alda, Edward Norton, Drew Barrymore, Gaby Hoffmann, Tim Roth, Goldie Hawn, Natasha Lyonne and Natalie Portman.Set in New York City, Venice, and Paris, the film features singing by actors not usually known for their singing. It is among the more critically successful of Allen's later films, although it did not do well commercially.",when was everyone says i love you made
<dbpedia:Barbed_wire>,Barbed wire,"Barbed wire, also known as barb wire, less often bob wire or, in the southeastern United States, bobbed wire, is a type of steel fencing wire constructed with sharp edges or points arranged at intervals along the strand(s). It is used to construct inexpensive fences and is used atop walls surrounding secured property.",what is bobbed wire
<dbpedia:Aristid_Lindenmayer>,Aristid Lindenmayer,"Aristid Lindenmayer (17 November 1925 – 30 October 1989) was a Hungarian biologist. In 1968 he developed a type of formal languages that is today called L-systems or Lindenmayer Systems. Using those systems Lindenmayer modelled the behaviour of cells of plants. L-systems nowadays are also used to model whole plants.Lindenmayer worked with yeast and filamentous fungi and studied the growth patterns of various types of algae, such as the blue/green bacteria Anabaena catenula.",what l system did lindenmayer use
<dbpedia:Crash_cymbal>,Crash cymbal,"A crash cymbal is a type of cymbal that produces a loud, sharp ""crash"" and is used mainly for occasional accents, as opposed to in ostinato.  They can be mounted on a stand and played with a drum stick, or by hand in pairs. One or two crash cymbals are a standard part of a drum kit. Suspended crash cymbals are also used in bands and orchestras, either played with a drumstick or rolled with a pair of mallets to produce a slower, swelling crash.",what is a crash cymbal used for
<dbpedia:Nostra_aetate>,Nostra aetate,"Nostra aetate (Latin: In our Time) is the Declaration on the Relation of the Church with Non-Christian Religions of the Second Vatican Council.  Passed by a vote of 2,221 to 88 of the assembled bishops, this declaration was promulgated on October 28, 1965, by Pope Paul VI.The first draft, entitled ""Decretum de Iudaeis"" (""Decree on the Jews""), was completed in November 1961, approximately fourteen months after Cardinal Bea was commissioned by Pope John XXIII.",what does nostra aetate mean
<dbpedia:Oldenburg>,Oldenburg,"Oldenburg (German pronunciation: [ˈɔldənbʊʁk]; Low German: Ollnborg; Saterland Frisian: Ooldenbuurich) is an independent city in the state of Lower Saxony, Germany. During the French annexation (1811–1813) in the wake of the Napoleonic war against Britain, it was also known as Le Vieux-Bourg in French. The city is situated at the Rivers Hunte and Haaren, in the northwestern region between the cities of Bremen in the east and Groningen (Netherlands) in the west.",what city was oldenburg germany located
<dbpedia:San_Luis_Valley>,San Luis Valley,"The San Luis Valley is an extensive high-altitude depositional basin in the U.S. state of Colorado with a small portion overlapping into New Mexico covering approximately 8,000 square miles (21,000 km2) and sitting at an average elevation of 7,664 feet (2,336 m) above sea level.  The valley is a section of the Rio Grande Rift and is drained to the south by the Rio Grande, which rises in the San Juan Mountains to the west of the valley and flows south into New Mexico.",what type of landform is the san lucs valley in?
<dbpedia:Ted_Demme>,Ted Demme,"Edward Kern ""Ted"" Demme (October 26, 1963 – January 13, 2002) was an American film director and producer.",who is ted demme
<dbpedia:List_of_IOC_country_codes>,List of IOC country codes,The International Olympic Committee (IOC) uses three-letter abbreviation country codes to refer to each group of athletes that participate in the Olympic Games.,how to identify a country code
<dbpedia:Arity>,Arity,"In logic, mathematics, and computer science, the arity /ˈærɨti/ of a function or operation is the number of arguments or operands the function or operation accepts. The arity of a relation (or predicate) is the dimension of the domain in the corresponding Cartesian product. (A function of arity n thus has arity n+1 considered as a relation.) The term springs from words like unary, binary, ternary, etc.",what is the arity of a function
<dbpedia:Victor_Davis_Hanson>,Victor Davis Hanson,"Victor Davis Hanson (born September 5, 1953) is an American military historian, columnist, former classics professor, and scholar of ancient warfare. He has been a commentator on modern warfare and contemporary politics for National Review and other media outlets. He was a professor emeritus of classics at California State University, Fresno, and is currently the Martin and Illie Anderson Senior Fellow at Stanford University's Hoover Institution.",who is victorius davis hanson
<dbpedia:Sudovian_language>,Sudovian language,"Sudovian (also known as Jatvingian, Yatvingian, or Yotvingian) is an extinct western Baltic language of Northeastern Europe. Closely related to the Old Prussian language, it was formerly spoken southwest of the Nemunas river in what is now Lithuania, east of Galindia and north of Yotvingia, and by exiles in East Prussia.",what are sudovian languages
<dbpedia:Grammatical_number>,Grammatical number,"In linguistics, grammatical number is a grammatical category of nouns, pronouns, and adjective and verb agreement that expresses count distinctions (such as ""one"", ""two"", or ""three or more""). In many languages, including English, the number categories are singular and plural.",grammatical number definition
<dbpedia:Purushottam_Laxman_Deshpande>,Purushottam Laxman Deshpande,"Purushottam Lakshman Deshpande (8 November 1919 – 12 June 2000), popularly known by his initials पु. ल. ""\Pu. La."") or as P. L. Deshpande, was a Maharashtrian and Marathi writer and humorist from Maharashtra. He was also an accomplished film and stage actor, music composer, harmonium player, singer, and orator. He was often referred to as ""Maharashtrache Laadke Vyaktimatva"" (roughly translated as ""Maharashtra's beloved personality"").",when was p. l. deshpande born
<dbpedia:Logarithmic_spiral>,Logarithmic spiral,"A logarithmic spiral, equiangular spiral or growth spiral is a self-similar spiral curve which often appears in nature. The logarithmic spiral was first described by Descartes and later extensively investigated by Jacob Bernoulli, who called it Spira mirabilis, ""the marvelous spiral"".",what is a logarithmic spiral
<dbpedia:Krishna>,Krishna,"Krishna (/ˈkrɪʃnə/; Sanskrit: कृष्ण, Kṛṣṇa in IAST, pronounced [ˈkr̩ʂɳə]) is a Hindu deity, worshipped across many traditions of Hinduism in a variety of different perspectives. Krishna is recognized as the eighth avatar of the god Vishnu or as the Supreme God in other traditions.",who is krishna
<dbpedia:Haile_Selassie>,Haile Selassie,"Haile Selassie I (Ge'ez: ቀዳማዊ ኃይለ ሥላሴ, qädamawi haylä səllasé; Amharic pronunciation: [ˈhaɪlɜ sɨˈlːase]) (23 July 1892 – 27 August 1975), born Tafari Makonnen Woldemikael, was Ethiopia's regent from 1916 to 1930 and Emperor of Ethiopia from 1930 to 1974. He also served as Chairperson of the Organisation of African Unity from 25 May 1963 to 17 July 1964, and again from 5 November 1966 to 11 September 1967.",who is ethiopia
<dbpedia:Phonics>,Phonics,"Phonics is a method for teaching reading and writing of the English language by developing learners' phonemic awareness—the ability to hear, identify, and manipulate phonemes—in order to teach the correspondence between these sounds and the spelling patterns (graphemes) that represent them.The goal of phonics is to enable beginning readers to decode new written words by sounding them out, or in phonics terms, blending the sound-spelling patterns.",what is phonic
<dbpedia:Buick>,Buick,"Buick, formally the Buick Motor Division /ˈbjuːɨk/, is an American automobile division of the American manufacturer General Motors (GM). For much of its existence in the North American market, Buick has been marketed as a premium automobile brand, selling entry-level luxury vehicles positioned above its mainstream GM stablemate Chevrolet, and below the flagship Cadillac division.",what company is a buick
<dbpedia:Naturalization>,Naturalization,"Naturalization (or naturalisation) is the legal act or process by which a non-citizen in a country may acquire citizenship or nationality of that country. It may be done by a statute, without any effort on the part of the individual, or it may involve an application and approval by legal authorities.",definition naturalization
<dbpedia:Bass_drum>,Bass drum,"A bass drum is a large drum that produces a note of low definite or indefinite pitch.Bass drums are percussion instruments and vary in size and are used in several musical genres. Three major types of bass drums can be distinguished.  The type usually seen or heard in orchestral, ensemble or concert band music is the orchestral, or concert bass drum (in Italian: gran cassa, gran tamburo). It is the largest drum of the orchestra. The kick drum, a term for a bass drum associated with a drum kit.",what is a bass drum used for
<dbpedia:Whole_language>,Whole language,"Whole language describes a literacy philosophy which emphasizes that children should focus on meaning and strategy instruction. It is often contrasted with phonics-based methods of teaching reading and writing which emphasize instruction for decoding and spelling. However, from whole language practitioners' perspective, this view is erroneous and sets up a false dichotomy.",whole language vs phonics
<dbpedia:Helmut_Kohl>,Helmut Kohl,"Helmut Josef Michael Kohl (German: [ˈhɛlmuːt ˈjoːzɛf 'mɪçaʔeːl ˈkoːl]; born 3 April 1930) is a German statesman, who served as Chancellor of Germany from 1982 to 1998 (of West Germany 1982–90 and of the reunited Germany 1990–98) and as the chairman of the Christian Democratic Union (CDU) from 1973 to 1998.His 16-year tenure was the longest of any German chancellor since Otto von Bismarck, and far and away the longest of any democratically elected chancellor.",what year was helmut kohl chancellor
<dbpedia:Acupressure>,Acupressure,"Acupressure [from Latin acus ""needle"" (see acuity) + pressure (n.)] is an alternative medicine technique similar in principle to acupuncture. It is based on the concept of life energy which flows through ""meridians"" in the body. In treatment, physical pressure is applied to acupuncture points with the aim of clearing blockages in these meridians.",what is acupressure
<dbpedia:Pankisi_Gorge>,Pankisi Gorge,"The Pankisi Gorge (Georgian: პანკისის ხეობა, Pankisis Kheoba) or Pankisi (პანკისი) is a valley region in Georgia, in the upper reaches of River Alazani just south of Georgia’s historic region of Tusheti between Mt Borbalo and the ruined 17th-century fortress of Bakhtrioni. Administratively, it is included in the Akhmeta municipality of the Kakheti region. An ethnic group called Kists of Chechen roots form the majority (75%) in the area.",what is the pankisi gorge
<dbpedia:Topological_group>,Topological group,"In mathematics, a topological group is a group G together with a topology on G such that the group's binary operation and the group's inverse function are continuous functions with respect to the topology. A topological group is a mathematical object with both an algebraic structure and a topological structure.",what is the topology of a group in math
<dbpedia:Yaroslav_the_Wise>,Yaroslav the Wise,"Yaroslav I, Grand Prince of Rus', known as Yaroslav the Wise or Iaroslav the Wise (Old East Slavic: Ꙗрославъ Володимировичъ Мѫдрꙑи, Jaroslavŭ Volodimirovičŭ Mǫdryi; Old Norse: Jarizleifr; Russian: Яросла́в Му́дрый, Yaroslav Mudry; Ukrainian: Ярослав Мудрий; c. 978 – 20 February 1054) was thrice grand prince of Veliky Novgorod and Kiev, uniting the two principalities for a time under his rule.",who was yaroslav the wise
<dbpedia:The_Lost_Weekend_(film)>,The Lost Weekend (film),The Lost Weekend is a 1945 American film noir drama film directed by Billy Wilder and starring Ray Milland and Jane Wyman. The film was based on Charles R. Jackson's 1944 novel of the same title about an alcoholic writer.,what movie was the lost weekend
<dbpedia:Ichthyology>,Ichthyology,"Ichthyology (from Greek: ἰχθύς, ikhthus, ""fish""; and λόγος, logos, ""study""), also known as Fish Science, is the branch of biology devoted to the study of fish.  This includes bony fishes (Osteichthyes), cartilaginous fish (Chondrichthyes), and jawless fish (Agnatha). While a large number of species have been discovered and described, approximately 250 new species are officially described by science each year. According to FishBase, 32,200 species of fish had been described by March 2012.",ichthyology definition
<dbpedia:Whistle>,Whistle,"An aerodynamic whistle (or call) is a simple aerophone, an instrument which produces sound from a stream of gas, most commonly air. It may be mouth-operated, or powered by air pressure, steam, or other means. Whistles vary in size from a small slide whistle or nose flute type to a large multi-piped church organ.Whistles have been around since early humans first carved out a gourd or branch and found they could make sound with it. Many present day musical instruments are inheritors.",what is an aerodynamic whistle
<dbpedia:From_Here_to_Eternity>,From Here to Eternity,"From Here to Eternity is a 1953 drama film directed by Fred Zinnemann and based on the novel of the same name by James Jones. The picture deals with the tribulations of three soldiers, played by Burt Lancaster, Montgomery Clift, and Frank Sinatra, stationed on Hawaii in the months leading up to the attack on Pearl Harbor.",when did from here to eternity begin
<dbpedia:LAN_switching>,LAN switching,"LAN switching is a form of packet switching used in local area networks (LAN). Switching technologies are crucial to network design, as they allow traffic to be sent only where it is needed in most cases, using fast, hardware-based methods. LAN switching uses different kinds of network switches. Basic switch is marked as layer 2 switch and could be found in nearly all LAN around.",what is lan
<dbpedia:Augusto_Boal>,Augusto Boal,"Augusto Boal (16 March 1931 - 2 May 2009) was a Brazilian theatre director, writer and politician. He was the founder of Theatre of the Oppressed, a theatrical form originally used in radical popular education movements. Boal served one term as a Vereador (the Brazilian equivalent of a city councillor) in Rio de Janeiro from 1993 to 1997, where he developed legislative theatre.",what is augusto boal?
<dbpedia:Sex_education>,Sex education,"Sex education is instruction on issues relating to human sexuality, including human sexual anatomy, sexual reproduction, sexual activity, reproductive health, emotional relations, reproductive rights and responsibilities, sexual abstinence, and birth control.",what is sex in education
<dbpedia:Gillian_Anderson>,Gillian Anderson,"Gillian Leigh Anderson (born August 9, 1968) is an American-English film, television and theatre actress and activist.",who is gillian anderson
<dbpedia:Ayodhya>,Ayodhya,"Ayodhya (About this sound listen ; (IAST Ayodhyā), also known as Saket, is an ancient city of India, believed to be the birthplace of Rama and setting of the epic Ramayana. It is adjacent to Faizabad city at the south end in the Indian state of Uttar Pradesh. Ayodhya used to be the capital of the ancient Kosala Kingdom.",where is ayodhya
<dbpedia:United_Press_International>,United Press International,"United Press International (UPI) is an international news agency, whose newswires, photo, news film and audio services provided news material to thousands of newspapers, magazines and radio and television stations for most of the 20th century. At its peak, it had more  than 6,000 media subscribers.",what is a upi
<dbpedia:Mount_Everest>,Mount Everest,"Mount Everest, also known in Nepal as Sagarmāthā and in Tibet as Chomolungma, is Earth's highest mountain. It is located in the Mahalangur mountain range in Nepal. Its peak is 8,848 metres (29,029 ft) above sea level. It is not the furthest summit from the centre of the Earth. That honour goes to Mount Chimborazo, in the Andes. The international border between China and Nepal runs across Everest's precise summit point.",highest elevations in the world
<dbpedia:Continuity_of_Operations>,Continuity of Operations,"Continuity of Operations (COOP) is a United States federal government initiative, required by U.S.",what does coop stand for in military
<dbpedia:Physical_modelling_synthesis>,Physical modelling synthesis,"In sound synthesis, physical modelling synthesis refers to methods in which the waveform of the sound to be generated is computed by using a mathematical model, being a set of equations and algorithms to simulate a physical source of sound, usually a musical instrument.",what is the synthesis process of sounds
<dbpedia:1286>,1286,Year 1286 (MCCLXXXVI) was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar.,what year is 1286
<dbpedia:Kassel>,Kassel,"Kassel (German pronunciation: [ˈkasəl]; spelt Cassel until 1928) is a city located on the Fulda River in northern Hesse, Germany. It is the administrative seat of the  Regierungsbezirk Kassel and the Kreis of the same name and has approximately 195 000 inhabitants. The former capital of the state of Hesse-Kassel has many palaces and parks, including the Bergpark Wilhelmshöhe, which is a UNESCO World Heritage Site. Kassel is also known for the documenta exhibitions of contemporary art.",where is kassel in germany
<dbpedia:Persecution_of_homosexuals_in_Nazi_Germany_and_the_Holocaust>,Persecution of homosexuals in Nazi Germany and the Holocaust,"Upon the rise of Adolf Hitler and the National Socialist German Workers Party (the Nazi Party) in Germany, gay men and, to a lesser extent, lesbians, were two of the numerous groups targeted by the Nazis and were ultimately among Holocaust victims.",what did the nazis do when germany resented homosexuals
<dbpedia:Cable>,Cable,"An electrical cable comprises two or more wires running side by side and bonded, twisted, or braided together to form a single assembly, the ends of which can be connected to two devices, enabling the transfer of electrical signals from one device to the other. Cables are used for a wide range of purposes, and each must be tailored for that purpose. Cables are used extensively in electronic devices for power and signal circuits. Long-distance communication takes place over undersea cables.",what is a cable in electrical power
<dbpedia:History_of_Benin>,History of Benin,"Note: This article is about the modern nation of Benin, which encompasses the former French colony of Dahomey, located west of Nigeria. It is easily confused with the historical empire governed by the Oba of Benin from the 14th century until 1897, from a seat of power sited at Benin City in present-day Nigeria.The Republic of Benin was formed in 1960 when the colony of French Dahomey gained independence from France.",where is benin
<dbpedia:History_of_Bosnia_and_Herzegovina>,History of Bosnia and Herzegovina,This is a history of Bosnia and Herzegovina.,what was bosnia's history
<dbpedia:Tin_whistle>,Tin whistle,"The tin whistle, also called the penny whistle, English flageolet, Scottish penny whistle, tin flageolet, Irish whistle, feadóg stáin (or simply feadóg) and Clarke London Flageolet is a simple, six-holed woodwind instrument. It is a fipple flute, putting it in the same category as the recorder, Native American flute, and other woodwind instruments that meet such criteria. A tin whistle player is called a tin whistler or simply a whistler. The tin whistle is closely associated with Celtic music.",what is tin whistle
<dbpedia:Hotel_Chelsea>,Hotel Chelsea,"The Hotel Chelsea – also called the Chelsea Hotel, or simply the Chelsea – is a historic New York City hotel and landmark built between 1883 and 1885, known primarily for the notability of its residents over the years. The 250-unit hotel is located at 222 West 23rd Street, between Seventh and Eighth Avenues, in the neighborhood of Chelsea, Manhattan.",what is the hotel in chelsea
<dbpedia:Kibology>,Kibology,"Kibology is a parody religion. It grew out of the Usenet newsgroup alt.religion.kibology named after Kibo, the central figure. Practitioners of Kibology are called Kibologists or (sometimes more disdainfully) Kibozos.James ""Kibo"" Parry and his friends began Kibology about 1989at the suggestion of Mark Jason Dominus.  In its early Usenet days it was centered in the newsgroups talk.bizarre and alt.slack, until the creation of alt.religion.kibology in late 1991.",what is kibology
<dbpedia:X10_(industry_standard)>,X10 (industry standard),"X10 is a protocol for communication among electronic devices used for home automation (domotics). It primarily uses power line wiring for signaling and control, where the signals involve brief radio frequency bursts representing digital information. A wireless radio based protocol transport is also defined.X10 was developed in 1975 by Pico Electronics of Glenrothes, Scotland, in order to allow remote control of home devices and appliances.",what does x10
<dbpedia:Electronic_Power_Control>,Electronic Power Control,"The textbook Electronic Power Control from Jean Pollefliet (author) covers the most areas of ""power electronics"" (volume 1: ISBN 9789038217918), while in volume 2 (ISBN 9789038219110) the electronic motor control is treated.(Electric) Power Control deals with routing electric power, controlling its quality, and controlling the devices attached to a power line.A number of technologies have evolved for using the power wiring to turn devices attached to the power line on and off, monitoring attached devices, and similar activities. @en <http://en.wikipedia.org/wiki/Electronic_Power_Control?oldid=673884369> .
<http://dbpedia.org/resource/Hydrogen_cyanide> <http://www.w3.org/2000/01/rdf-schema#comment> Hydrogen cyanide (HCN), sometimes called prussic acid, is an organic compound with the chemical formula HCN. It is a colorless, extremely poisonous liquid that boils slightly above room temperature, at 25.6 °C (78.1 °F). HCN is produced on an industrial scale and is a highly valuable precursor to many chemical compounds ranging from polymers to pharmaceuticals.",what is electronic power control
<dbpedia:Single_non-transferable_vote>,Single non-transferable vote,Single non-transferable vote or SNTV is an electoral system used in multi-member constituency elections.,what is a sntv vote
<dbpedia:The_Wicker_Man_(1973_film)>,The Wicker Man (1973 film),"The Wicker Man is a 1973 British mystery horror film directed by Robin Hardy and written by Anthony Shaffer. The film stars Edward Woodward, Christopher Lee, Diane Cilento, Ingrid Pitt, and Britt Ekland. Paul Giovanni composed the soundtrack. The story was inspired by David Pinner's 1967 novel Ritual and  centres on the visit of Police Sergeant Neil Howie to the isolated island of Summerisle, in search of a missing girl.",who wrote the movie the wicked man
<dbpedia:Socialization>,Socialization,"Socialization, also spelled socialisation, is a term used by sociologists, social psychologists, anthropologists, political scientists, and educationalists to refer to the lifelong process of inheriting and disseminating norms, customs, and ideologies, providing an individual with the skills and habits necessary for participating within their own society.",socialization definition
<dbpedia:200>,200,"Year 200 (CC) was a leap year starting on Tuesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Severus and Victorinus (or, less frequently, year 953 Ab urbe condita). The denomination 200 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year does 200 come in
<dbpedia:On_the_Waterfront>,On the Waterfront,"On the Waterfront is a 1954 American crime drama film with elements of film noir. The film was directed by Elia Kazan and written by Budd Schulberg. It stars Marlon Brando and features Karl Malden, Lee J. Cobb, Rod Steiger, and, in her film debut, Eva Marie Saint. The soundtrack score was composed by Leonard Bernstein. It is based on Crime on the Waterfront, a series of articles published in the New York Sun by Malcolm Johnson that won the 1949 Pulitzer Prize for Local Reporting.",on the waterfront eva santa
<dbpedia:Kirkendall_effect>,Kirkendall effect,The Kirkendall effect is the motion of the boundary layer between two metals that occurs as a consequence of the difference in diffusion rates of the metal atoms.,definition of the kirkendall effect
<dbpedia:Ludwig_Erhard>,Ludwig Erhard,"Ludwig Wilhelm Erhard (German: [ˈluːdvɪç ˈɛʁhaʁt]; 4 February 1897 – 5 May 1977) was a German politician affiliated with the CDU and Chancellor of the Federal Republic of Germany (West Germany) from 1963 until 1966. He is often famed for leading German postwar economic reforms and economic recovery ""\Wirtschaftswunder,"" German for ""economic miracle"") in his role as Minister of Economics under Chancellor Konrad Adenauer from 1949 to 1963.",who was lussiv erhard
"<dbpedia:Beaverton,_Oregon>","Beaverton, Oregon","Beaverton is a city in Washington County, in the U.S. state of Oregon. The city center is 7 miles (11 km) west of downtown Portland in the Tualatin River Valley.As of the 2010 census, the population is 89,803. This makes it the second-largest city in the county and Oregon's sixth-largest city.",what county is beaverton oregon
<dbpedia:201>,201,"Year 201 (CCI) was a common year starting on Thursday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Fabianus and Arrius (or, less frequently, year 954 Ab urbe condita). The denomination 201 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what is year 201 cci
<dbpedia:300>,300,"Year 300 (CCC) was a leap year starting on Monday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Constantius and Valerius (or, less frequently, year 1053 Ab urbe condita). The denomination 300 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year was 300 in?
<dbpedia:Reason>,Reason,"Reason is the capacity for consciously making sense of things, applying logic, establishing and verifying facts, and changing or justifying practices, institutions, and beliefs based on new or existing information.",meaning of reason
<dbpedia:900>,900,Year 900 (CM) was a leap year starting on Tuesday (link will display the full calendar) of the Julian calendar.,what is the 900 yrs
<dbpedia:Terrorism_in_Yemen>,Terrorism in Yemen,"In the War on Terrorism in Yemen, the US government describes Yemen as ""an important partner in the global war on terrorism"".",is yemen involved in the war on terrorism
<dbpedia:John_Perry_Barlow>,John Perry Barlow,"John Perry Barlow (born October 3, 1947) is an American poet and essayist, a retired Wyoming cattle rancher, and a cyberlibertarian political activist who has been associated with both the Democratic and Republican parties. He is also a former lyricist for the Grateful Dead and a founding member of the Electronic Frontier Foundation and Freedom of the Press Foundation. Since May 1998, he has been a Fellow at Harvard University's Berkman Center for Internet and Society.",who is john barlow
<dbpedia:Mescaline>,Mescaline,"Mescaline or 3,4,5-trimethoxyphenethylamine is a naturally occurring psychedelic alkaloid of the phenethylamine class, known for its hallucinogenic effects similar to those of LSD and psilocybin. It shares strong structural similarities with the catecholamine dopamine.It occurs naturally in the peyote cactus (Lophophora williamsii), the San Pedro cactus (Echinopsis pachanoi) and in the Peruvian torch (Echinopsis peruviana), and as well in a number of other members of the Cactaceae plant family.",what is mescaline
